system:index,Daytime,.geo
89,-2.921932533255962,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.84303891632581,19.111208512000772]}"
90,0.16351644930602305,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.92119234604422,19.111208512000772]}"
91,-3.1660587140926637,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.93466707530601,19.111208512000772]}"
92,-4.6280121553882125,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.83495407876873,19.108513566148403]}"
93,-2.921932533255962,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.84034397047344,19.108513566148403]}"
94,-0.7048027332314248,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.87807321240646,19.108513566148403]}"
95,-0.5422340387679938,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.89693783337299,19.108513566148403]}"
96,-0.6736539521878981,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.89963277922533,19.108513566148403]}"
97,-0.1531294211633636,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.91041256263478,19.108513566148403]}"
98,-4.764045893579841,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.83495407876873,19.10581862029605]}"
99,-1.338130786164733,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.8565136455876,19.10581862029605]}"
100,-0.30493126311225893,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.86729342899704,19.10581862029605]}"
101,0.27985254131859705,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.87268332070175,19.10581862029605]}"
102,1.4148810618177023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.89693783337299,19.10581862029605]}"
103,-3.6179176884516338,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.84303891632581,19.103123674443694]}"
104,-2.628875853094037,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.84573386217818,19.103123674443694]}"
105,0.6885818087831623,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.88885299581591,19.103123674443694]}"
106,0.28598376956747273,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.92388729189656,19.103123674443694]}"
107,-3.6179176884516338,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.84303891632581,19.100428728591325]}"
108,-1.338130786164733,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.85381869973526,19.100428728591325]}"
109,1.4148810618177023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.89154794166828,19.100428728591325]}"
110,1.4148810618177023,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.89424288752062,19.100428728591325]}"
111,1.44572267118874,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.89963277922533,19.100428728591325]}"
112,1.44572267118874,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.90502267093007,19.100428728591325]}"
113,0.7694608937504697,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.91310750848714,19.100428728591325]}"
114,-3.187185698219629,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.93466707530601,19.100428728591325]}"
